Título,Link,Snippet,Autores,Data de Publicação,Fonte,Similaridade com Título,Similaridade com Resumo,Similaridade Média
A multi-head self-attention transformer-based model for traffic situation prediction in terminal areas,https://ieeexplore.ieee.org/abstract/document/10044658/,Self-attention is a variation of the attention mechanism that  on Transformer's architecture  by adopting other network structures to  The data processing module in the prediction model,"Z Yu, X Shi, Z Zhang",2023,IEEE Access,0.7941694087293314,0.8179383237914358,0.8060538662603836
Vicinity vision transformer,https://ieeexplore.ieee.org/abstract/document/10149455/,into each layer throughout the whole model via convolutional  self-attention (MSA) module  to reduce the feature dimension  the overall architecture of Vicinity Vision Transformer (VVT),"W Sun, Z Qin, H Deng, J Wang, Y Zhang",2023,… on Pattern Analysis …,0.7911853713706096,0.820862446040737,0.8060239087056733
A hybrid multi-scale attention convolution and aging transformer network for Alzheimer's disease diagnosis,https://ieeexplore.ieee.org/abstract/document/10109788/,Attention mechanism has attracted a lot of interest to enhance  Architecture of our proposed  aging transformer subnetwork  of the attention module and aging transformer for disease,"X Gao, H Cai, M Liu",2023,IEEE Journal of Biomedical and Health …,0.8051531890469859,0.8057770475141636,0.8054651182805748
Swiftformer: Efficient additive attention for transformer-based real-time mobile vision applications,http://openaccess.thecvf.com/content/ICCV2023/html/Shaker_SwiftFormer_Efficient_Additive_Attention_for_Transformer-based_Real-time_Mobile_Vision_Applications_ICCV_2023_paper.html,"a novel efficient additive attention mechanism that effectively  Inspired by the transformer  architecture, we employ a linear  baseline model, which only includes the self-attention based","A Shaker, M Maaz, H Rasheed",2023,Proceedings of the …,0.79326534317948,0.8157826300991481,0.8045239866393141
Image super-resolution method based on the interactive fusion of transformer and CNN features,https://link.springer.com/article/10.1007/s00371-023-03138-9,"into the attention module to improve the Transformer, utilizing  to the attention mechanism  and feed-forward network (FFN),  The new transformer architecture combines self-attention","J Wang, Y Zou, O Alfarraj, PK Sharma, W Said",2024,The Visual …,0.7868099297520718,0.8214301091043719,0.8041200194282219
Paraformer: Parallel attention transformer for efficient feature matching,https://ojs.aaai.org/index.php/AAAI/article/view/25275,"of quadratic complexity of attention mechanism. So we focus on  In this paper, we propose  a novel attention-based network  attention architecture that not only integrates self-attention","X Lu, Y Yan, B Kang, S Du",2023,Proceedings of the AAAI Conference on …,0.7903378937948602,0.8176727344095078,0.804005314102184
Transformer-based visual object tracking via fine–coarse concatenated attention and cross concatenated MLP,https://www.sciencedirect.com/science/article/pii/S0031320323006623,within one attention layer of the original self-attention learning  in the transformer to achieve  nonlocal attention-based  of multi-head self-attention (MSA) and feed-forward network (,"L Gao, L Chen, P Liu, Y Jiang, Y Li, J Ning",2024,Pattern Recognition,0.7944923674042267,0.8132932917254488,0.8038928295648378
Adaptive semantic-enhanced transformer for image captioning,https://ieeexplore.ieee.org/abstract/document/9810877/,"gated mechanism (AGM) module to adjust the attention  has gradually replaced the CNN–RNN  architecture and  the multihead attention mechanism, our AS-Transformer can adaptively","J Zhang, Z Fang, H Sun, Z Wang",2022,… on Neural Networks and …,0.7933734062791314,0.8133253638318707,0.8033493850555011
Vision transformer with deformable attention,https://openaccess.thecvf.com/content/CVPR2022/html/Xia_Vision_Transformer_With_Deformable_Attention_CVPR_2022_paper.html?ref=https://githubhelp.com,"propose a novel deformable self-attention module, where the  revisit the attention mechanism  in recent Vision Transformers.  of the network architecture, our model, Deformable Attention","Z Xia, X Pan, S Song, LE Li",2022,Proceedings of the IEEE …,0.7873563337954014,0.8192594369091921,0.8033078853522968
A survey on vision transformer,https://ieeexplore.ieee.org/abstract/document/9716741/,proposed transformer based on attention mechanism for  due to the cross-attention module  in the transformer decoder. To  model named TransPose based on Transformer architecture,"K Han, Y Wang, H Chen, X Chen, J Guo",2022,IEEE transactions on …,0.79340972028186,0.8131187073718202,0.8032642138268401
Boundary-aware transformers for skin lesion segmentation,https://link.springer.com/chapter/10.1007/978-3-030-87193-2_20,"employing a powerful global attention mechanism, but one of  -wise attention gate (BAG) in  transformer architecture to  layer in the encoder consists of a multi-head self-attention module","J Wang, L Wei, L Wang, Q Zhou, L Zhu",2021,Medical Image Computing …,0.8009745710096753,0.8041108756139239,0.8025427233117997
Attention retractable frequency fusion transformer for image super resolution,https://openaccess.thecvf.com/content/CVPR2023W/NTIRE/html/Zhu_Attention_Retractable_Frequency_Fusion_Transformer_for_Image_Super_Resolution_CVPRW_2023_paper.html,"], and attention mechanism, eg, residual channel attention  The architecture of our ARFFT  is illustrated in Fig. 1. It is  Transformer [16] was developed using the multiaxis attention based","Q Zhu, P Li, Q Li",2023,… of the IEEE/CVF Conference on …,0.7930201818448369,0.8113299975525594,0.8021750896986981
Extracting long‐term spatiotemporal characteristics of traffic flow using attention‐based convolutional transformer,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/itr2.12468,to the self-attention layer within the encoder transformer  that incorporates modifications to  the attention mechanism to better  the overall architecture of the spatiotemporal transformers.,"AR Sattarzadeh, PN Pathirana",2023,IET Intelligent …,0.7898121453901934,0.8138030098984774,0.8018075776443354
Castling-vit: Compressing self-attention via switching towards linear-angular attention at vision transformer inference,http://openaccess.thecvf.com/content/CVPR2023/html/You_Castling-ViT_Compressing_Self-Attention_via_Switching_Towards_Linear-Angular_Attention_at_Vision_CVPR_2023_paper.html,"In this way, our attention module can be formulated as:  backbones with transformer blocks,  whose architecture could  a new linear-angular attention mechanism: we decompose angular","H You, Y Xiong, X Dai, B Wu, P Zhang",2023,Proceedings of the …,0.7826361740907797,0.8209351851373518,0.8017856796140657
Tree transformer: Integrating tree structures into self-attention,https://arxiv.org/abs/1909.06639,"Attention” module, which is simply implemented by  same network architecture, but with  different sets of network  of attention heads from each layer of the original Transformer","YS Wang, HY Lee, YN Chen",2019,arXiv preprint arXiv:1909.06639,0.7934192746865455,0.809861737223067,0.8016405059548062
Entangled transformer for image captioning,http://openaccess.thecvf.com/content_ICCV_2019/html/Li_Entangled_Transformer_for_Image_Captioning_ICCV_2019_paper.html,"attention module can be readily applied to the Transformer  As shown in Figure 2, the  overall architecture follows the  To mimic the attention mechanism of the human vision system","G Li, L Zhu, P Liu, Y Yang",2019,Proceedings of the IEEE/CVF …,0.7956996675207293,0.8062445179241752,0.8009720927224522
Multi-dimension Transformer with Attention-based Filtering for Medical Image Segmentation,https://arxiv.org/abs/2405.12328,a convolutional layer within the Transformer to enhance its  to introduce locality into the  Transformer architecture. And an  factor that modulates the attention mechanism’s sensitivity.,"W Wang, X Xiao, M Liu, Q Tian, X Huang, Q Lan",2024,arXiv preprint arXiv …,0.788940017763575,0.8129259833419293,0.8009330005527522
Couplformer: Rethinking vision transformer with coupling attention map,https://arxiv.org/abs/2112.05425,"memory economy attention mechanism named Couplformer,  Nowadays, Transformer and  attention-based models have  our architecture, we replace the original multi-head attention","H Lan, X Wang, X Wei",2021,arXiv preprint arXiv:2112.05425,0.8071785489104968,0.7942999926113039,0.8007392707609003
A semi-supervised approach for the integration of multi-omics data based on transformer multi-head self-attention mechanism and graph convolutional networks,https://link.springer.com/article/10.1186/s12864-024-09985-7,"Transformer architecture comprises an input layer,  number of attention heads in the multi-head  attention mechanism.  In this approach, we employed the Transformer encoding module","J Wang, N Liao, X Du, Q Chen, B Wei",2024,BMC genomics,0.784066173276385,0.8172438261915195,0.8006549997339523
BViT: Broad attention-based vision transformer,https://ieeexplore.ieee.org/abstract/document/10113704/,attention mechanism that can efficiently extract and utilize the knowledge in each transformer  layer ] searched high-performed transformer-based models through one-shot architecture,"N Li, Y Chen, W Li, Z Ding, D Zhao",2023,… on Neural Networks and …,0.7753639334312187,0.8256461390128296,0.8005050362220241
Multi-head self-attention via vision transformer for zero-shot learning,https://arxiv.org/abs/2108.00045,"In this work, we propose an attention-based model in the  an attention mechanism adapted  from Vision Transformer to  as attention mechanism is included in these models architecture.","F Alamri, A Dutta",2021,arXiv preprint arXiv:2108.00045,0.7715195726143854,0.8292603717305327,0.800389972172459
A transformer-based gan for anomaly detection,https://link.springer.com/chapter/10.1007/978-3-031-15931-2_29,"a novel Transformer-based architecture for anomaly  In the self-attention module, different  heads can pay attention to different pixels and areas in the image via the attention mechanism","C Yang, S Lan, W Huang, W Wang, G Liu",2022,… Neural Networks,0.7964391242208673,0.8042814590106699,0.8003602916157686
On the usefulness of self-attention for automatic speech recognition with transformers,https://ieeexplore.ieee.org/abstract/document/9383521/,"For attention-based RNN models, the attention mechanism  train a baseline model with a  12-layer self-attention encoder.  designing novel network architecture based on our findings.","S Zhang, E Loweimi, P Bell",2021,2021 IEEE Spoken …,0.7789448191416184,0.8217669720925488,0.8003558956170835
An effective video transformer with synchronized spatiotemporal and spatial self-attention for action recognition,https://ieeexplore.ieee.org/abstract/document/9834306/,"spatial attention by another spatial self-attention module in  It expands the model architecture  by adapting six axes,  layer) that is added on top of the temporal selfattention module.","S Alfasly, CK Chui, Q Jiang, J Lu",2022,… on Neural Networks and …,0.7853612036107542,0.8145108083414285,0.7999360059760914
Transformer meets convolution: A bilateral awareness network for semantic segmentation of very fine resolution urban scene images,https://www.mdpi.com/2072-4292/13/16/3065,"linear attention mechanism, a feature aggregation module is  , an entirely novel architecture  named Transformer [45] has  layer with BN and ReLU is deployed to obtain the attention","L Wang, R Li, D Wang, C Duan, T Wang, X Meng",2021,Remote Sensing,0.7933932692274956,0.8058511423799319,0.7996222058037138
Localvit: Bringing locality to vision transformers,https://arxiv.org/abs/2104.05707,the sequence from the self-attention module must be rearranged  The new transformer  architecture combines a self-attention  within aa sequence owing to their attention mechanism [42,"Y Li, K Zhang, J Cao, R Timofte, L Van Gool",2021,arXiv preprint arXiv …,0.789995678599235,0.8089919648930362,0.7994938217461356
Enhancing the locality and breaking the memory bottleneck of transformer on time series forecasting,https://proceedings.neurips.cc/paper/2019/hash/6775a0635c302542da2c32aa19d86be0-Abstract.html,new architecture which leverages attention mechanism to  The well-known self-attention  based Transformer [1] has recently  a 3-layer canonical Transformer with standard self-attention.,"S Li, X Jin, Y Xuan, X Zhou, W Chen",2019,Advances in neural …,0.7940950616854541,0.8048797597164254,0.7994874107009398
Easy attention: A simple self-attention mechanism for transformer-based time-series reconstruction and prediction,https://www.researchsquare.com/article/rs-3545247/latest,", we propose a novel attention mechanism called easy attention which we demonstrate in   sparse multi-head easy attention as the easy attention module on the proposed architecture","R Vinuesa, M Sanchis-Agudo, Y Wang, L Guastoni",2023,NA,0.7804384498757329,0.8178511357596427,0.7991447928176878
Architecting an enterprise financial management model: leveraging multi-head attention mechanism-transformer for user information transformation,https://peerj.com/articles/cs-1928/,"refined Transformer network, the multi-head attention mechanism ( This mechanism endows  the network with heightened semantic  Each module includes a 1-D convolution layer with","W Yu, H Hamam",2024,PeerJ Computer Science,0.8044983026791397,0.7936770435844135,0.7990876731317766
Attention transformer mechanism and fusion-based deep learning architecture for MRI brain tumor classification system,https://www.sciencedirect.com/science/article/pii/S1746809423005529,model that integrates the Transformer Module (TM) with the  utilizes a normalized dot product  attention mechanism [48]. Input x i in  A fusion layer with a bidirectional fusion architecture,"S Tabatabaei, K Rezaee, M Zhu",2023,Biomedical Signal Processing and …,0.785305030033919,0.8122675225028098,0.7987862762683644
U-shaped transformer with frequency-band aware attention for speech enhancement,https://ieeexplore.ieee.org/abstract/document/10100864/,"to the conventional attention mechanism, the self-attention  attention based UTransformer  with the frequency-band aware attentions. Each block in the overall architecture of the network","Y Li, Y Sun, W Wang, SM Naqvi",2023,IEEE/ACM Transactions on …,0.7922149545638595,0.8045013752103629,0.7983581648871112
Rethinking U‐net from an attention perspective with transformers for osteosarcoma MRI image segmentation,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/7973404,"osteosarcoma image segmentation architecture, UATransNet , multilevel guided attention  mechanism, and multiscale jump  model with a multilevel guided self-aware attention module (","T Ouyang, S Yang, F Gou, Z Dai",2022,Computational …,0.7965622250792332,0.799662591866622,0.7981124084729276
Plg-vit: Vision transformer with parallel local and global self-attention,https://www.mdpi.com/1424-8220/23/7/3447,"This attention mechanism allows the modeling of  Instead, we replaced self-attention with  a pyramid-pooling module along  Model architecture of our PLG-SA block. The PLG-ViT block","N Ebert, D Stricker, O Wasenmüller",2023,Sensors,0.7789380438669272,0.8172702931126645,0.7981041684897958
Occlusion-aware spatial attention transformer for occluded object recognition,https://www.sciencedirect.com/science/article/pii/S0167865522001581,Visual Transformer (ViT) [5] uses the attention mechanism on  We adopt ViT as our backbone  architecture to analyze  the speed effects of adding OMP module in Table 5. The inference,"J Heo, Y Wang, J Park",2022,Pattern Recognition Letters,0.7741094040721174,0.82163971357522,0.7978745588236686
A time patch dynamic attention transformer for enhanced well production forecasting in complex oilfield operations,https://www.sciencedirect.com/science/article/pii/S036054422402961X,"fusion causal temporal attention mechanism, effectively overcoming  into an improved  Transformer architecture, retaining its  enables the model to adaptively allocate attention based on","T Huang, H Qian, Z Huang, NH Xu, X Huang, D Yin",2024,Energy,0.7894310920931323,0.8062375095542699,0.7978343008237011
Contrans: Improving transformer with convolutional attention for medical image segmentation,https://link.springer.com/chapter/10.1007/978-3-031-16443-9_29,"module including depthwise convolution, channel attention,  , and leverage the attention  mechanism to reduce feature redundancy  In this paper, we propose a novel architecture termed","A Lin, J Xu, J Li, G Lu",2022,… Conference on Medical Image Computing and …,0.7938975607094393,0.8014082656653705,0.7976529131874048
Transformer tracking with cyclic shifting window attention,http://openaccess.thecvf.com/content/CVPR2022/html/Song_Transformer_Tracking_With_Cyclic_Shifting_Window_Attention_CVPR_2022_paper.html,We propose a novel transformer architecture with multi-scale  we consider the transformer  as a feature matching module to  transformer naively and do touch the attention mechanism,"Z Song, J Yu, YPP Chen",2022,Proceedings of the IEEE …,0.7877932431210747,0.8073499799090946,0.7975716115150846
Recent advances in vision transformer: A survey and outlook of recent work,https://arxiv.org/abs/2203.01536,"This transformer is solely based on attention mechanism,  a reattention module, which  regenerated the attention map  volumetric transformer and proposed a unique architecture UNETR",K Islam,2022,arXiv preprint arXiv:2203.01536,0.788258768053631,0.8066713917822528,0.7974650799179419
Crossformer++: A versatile vision transformer hinging on cross-scale attention,https://ieeexplore.ieee.org/abstract/document/10366193/,"of the powerful attention mechanism. Early vision  layer after the linear transformation layer  of the self-attention module. It  Anyway, most works that focus on transformer architecture","W Wang, W Chen, Q Qiu, L Chen, B Wu",2023,… on Pattern Analysis …,0.7896141582942078,0.8046121548001467,0.7971131565471772
Visualizing and understanding patch interactions in vision transformer,https://ieeexplore.ieee.org/abstract/document/10132428/,"We propose a window-free modified attention mechanism to  a simple yet transformer  architecture by incorporating the  Therefore, the window-free multihead attention module computes","J Ma, Y Bai, B Zhong, W Zhang",2023,… on Neural Networks …,0.7842436233686433,0.8097123370382769,0.7969779802034601
A free lunch from vit: Adaptive attention multi-scale fusion transformer for fine-grained visual recognition,https://ieeexplore.ieee.org/abstract/document/9747591/,"vision due to its attention mechanism. Nonetheless, with the  transform layer, the Selective  Attention Collection Module ( warded to a network to produce our layer attention 𝑀𝐿 ∈ ℝ𝑁","Y Zhang, J Cao, L Zhang, X Liu, Z Wang",2022,ICASSP 2022-2022 …,0.7718169858240506,0.8221097374200985,0.7969633616220746
Facial Expression Recognition Based on Vision Transformer with Hybrid Local Attention,https://www.mdpi.com/2076-3417/14/15/6471,"without changing the architecture of the network model itself.  In this paper, we propose a  local hybrid attention mechanism  Transformer with the proposed hybrid local attention module","Y Tian, J Zhu, H Yao, D Chen",2024,Applied Sciences,0.7834207886799621,0.8102945465293696,0.7968576676046659
Couplformer: Rethinking vision transformer with coupling attention,https://openaccess.thecvf.com/content/WACV2023/html/Lan_Couplformer_Rethinking_Vision_Transformer_With_Coupling_Attention_WACV_2023_paper.html,Recent efforts have shown that Transformer and attention-based models have become   model’s overall architecture to reach a better result. We believe our coupled attention mechanism,"H Lan, X Wang, H Shen, P Liang",2023,Proceedings of the …,0.793874692943486,0.799683203824691,0.7967789483840886
A study on transformer-based object detection,https://ieeexplore.ieee.org/abstract/document/9498550/,"of them are based on the attention mechanism. In this work,  layer has a multi-head attention  module, masked multi-head  Since the transformer has a permutation invariant architecture","H Vaidwan, N Seth, AS Parihar",2021,… conference on intelligent …,0.7962440700960609,0.7972899255495687,0.7967669978228148
Learning multiple attention transformer super-resolution method for grape disease recognition,https://www.sciencedirect.com/science/article/pii/S0957417423032190,"enhanced feature attention mechanism module CSAB are  layer, two concatenate layers  and an upper sampling layer ( of transformer structure construction, the shuffle architecture","H Jin, X Chu, J Qi, J Feng, W Mu",2024,Expert Systems with Applications,0.7875328527208307,0.8059489965351221,0.7967409246279764
Reducing carbon emissions in the architectural design process via transformer with cross-attention mechanism,https://www.frontiersin.org/articles/10.3389/fevo.2023.1249308/full,using an efficient neural network with transformer grouping. The  a CA-Transformer model  with a cross-attention mechanism to aid  on the Transformer module. We selected Time Series,"HD Li, X Yang, HL Zhu",2023,Frontiers in Ecology and Evolution,0.8018276049316376,0.7911559042527363,0.796491754592187
Easy attention: A simple self-attention mechanism for transformers,https://arxiv.org/abs/2308.12874,"systems, we propose a novel attention mechanism called easy attention. Due to the fact that   sparse multi-head easy attention as the easy attention module on the proposed architecture,","M Sanchis-Agudo, Y Wang, K Duraisamy",2023,arXiv preprint arXiv …,0.7832263884649522,0.8092101830181264,0.7962182857415393
Parallel Attention-Based Transformer for Channel Estimation in RIS-Aided 6G Wireless Communications,https://ieeexplore.ieee.org/abstract/document/10591410/,"Transformer, ie, the attention mechanism, which is a neural network module derived from  human attention  the first convolutional layer in step 16, the attention mechanism from step 18 to","J Guo, G Liu, Q Wu, P Fan",2024,IEEE Transactions on Vehicular …,0.7843093517434603,0.8079126294497833,0.7961109905966217
Attention over self-attention: Intention-aware re-ranking with dynamic transformer encoders for recommendation,https://ieeexplore.ieee.org/abstract/document/9906456/,A fundamental assumption of the transformer architecture is  merit of our dynamic self-attention  module. By assembling the  then the co-attention mechanism assigns higher matching,"Z Lin, S Zang, R Wang, Z Sun",2022,… on Knowledge and …,0.7803252554070338,0.8112831398199973,0.7958041976135155
A tensorized transformer for language modeling,https://proceedings.neurips.cc/paper/2019/hash/dc960c46c38bd16e953d97cdeefdbc68-Abstract.html,"Transformer [35] is based solely on the attention mechanism,  AttenTD(·) is the function of  Single-block attention based on  architecture, and replace the standard multi-head attention","X Ma, P Zhang, S Zhang, N Duan",2019,Advances in neural …,0.791970562923968,0.7992504524523818,0.7956105076881749
Rethinking attention mechanism in time series classification,https://www.sciencedirect.com/science/article/pii/S0020025523000968,"of the Transformer for TSC, namely flexible multi-head linear  the existing Transformer-based  models, our architecture has  CNN-based or attention-based neural networks. However,","B Zhao, H Xing, X Wang, F Song, Z Xiao",2023,Information Sciences,0.7893320614375923,0.8010295245022089,0.7951807929699006
Convolutional transformer: An enhanced attention mechanism architecture for remaining useful life estimation of bearings,https://ieeexplore.ieee.org/abstract/document/9792382/,"(MSC) module with Swish activation for Transformer architecture to  previous layer, the MHA  module concatenates the attention  With MHA module, the network can extract long distance","Y Ding, M Jia",2022,IEEE Transactions on Instrumentation and …,0.7942471765898549,0.7958541758149985,0.7950506762024268
Efficient attention: Attention with linear complexities,http://openaccess.thecvf.com/content/WACV2021/html/Shen_Efficient_Attention_Attention_With_Linear_Complexities_WACV_2021_paper.html,efficient attention mechanism equivalent to dot-product attention but  The Transformer  architecture is highly successful on  ) module [10] uses global average pooling and a linear layer,"Z Shen, M Zhang, H Zhao, S Yi",2021,Proceedings of the IEEE …,0.7869469065360009,0.8030956015754769,0.7950212540557389
Trtr: Visual tracking with transformer,https://arxiv.org/abs/2105.03817,"based on Transformer architecture and its attention mechanism to  model, we use 8 heads  for multi-head attention module (M = 8), and set the channel dimension of FFN hidden layer","M Zhao, K Okada, M Inaba",2021,arXiv preprint arXiv:2105.03817,0.7864387804763091,0.8032121246939739,0.7948254525851415
Algorithm-hardware co-design of attention mechanism on FPGA devices,https://dl.acm.org/doi/abs/10.1145/3477002,model architecture behind the attention mechanism. To  can compress Transformer (an  attention mechanism based model)  The Transformer is the first self-attention based model. GPT,"X Zhang, Y Wu, P Zhou, X Tang, J Hu",2021,ACM Transactions on Embedded …,0.7879431911925372,0.8015906851554282,0.7947669381739827
MATNet: A combining multi-attention and transformer network for hyperspectral image classification,https://ieeexplore.ieee.org/abstract/document/10064266/,"brandnew architecture uses the self-attention mechanism to  The spatial attention mechanism  module considers the  stacks the transformer layer, we use the cross-layer connection to","B Zhang, Y Chen, Y Rong, S Xiong",2023,IEEE Transactions on …,0.7769671127358805,0.8124001362618916,0.794683624498886
Evaluation of transformer model and self-attention mechanism in the Yangtze River basin runoff prediction,https://www.sciencedirect.com/science/article/pii/S2214581823001258,"The Transformer (TSF) is a newly proposed neural network  Likely, the Attention Mechanism  (AM) is a solution to arrange the  or GRU model, an SA module, and a fully connected layer.","X Wei, G Wang, B Schmalz, DFT Hagan",2023,Journal of Hydrology …,0.7822304950753929,0.8067864221735936,0.7945084586244933
Point transformer,https://ieeexplore.ieee.org/abstract/document/9552005/,We aim to make use of the attention mechanism to capture the  present attention and introduce  the Transformer architecture  The network is permutation invariant due to a new module,"N Engel, V Belagiannis, K Dietmayer",2021,IEEE access,0.7957229193581696,0.792976226076949,0.7943495727175593
Miti-detr: Object detection based on transformers with mitigatory self-attention convergence,https://arxiv.org/abs/2112.13310,"to network depth, we propose a transformer architecture with  composite module of multi-head  self-attention network and  problem by attention mechanism and transformer network itself.","W Ma, T Zhang, G Wang",2021,arXiv preprint arXiv:2112.13310,0.7757111040567692,0.8129849810698125,0.794348042563291
A transformer-based method of multienergy load forecasting in integrated energy system,https://ieeexplore.ieee.org/abstract/document/9756020/,") The attention mechanism is adopted in the proposed model  FORECASTING ARCHITECTURE  In this paper, we proposed  In the multi-head attention module of the encoding layer and","C Wang, Y Wang, Z Ding, T Zheng",2022,IEEE Transactions on …,0.7924724173343556,0.795953649108761,0.7942130332215582
Slide-transformer: Hierarchical vision transformer with local self-attention,http://openaccess.thecvf.com/content/CVPR2023/html/Pan_Slide-Transformer_Hierarchical_Vision_Transformer_With_Local_Self-Attention_CVPR_2023_paper.html,"human design, which sets the least restrictions on the model architecture design.  attention  mechanism and address its efficiency overhead by proposing a novel Slide Attention module","X Pan, T Ye, Z Xia, S Song",2023,Proceedings of the IEEE …,0.7872267448634859,0.8011504960011394,0.7941886204323126
Multimodal channel-wise attention transformer inspired by multisensory integration mechanisms of the brain,https://www.sciencedirect.com/science/article/pii/S0031320322003181,"with the top-down attention mechanism in the brain, we  MCAT architecture, which consists  of N layers; each layer  and layer normalization concluded in the multi-head attention module,","Q Shi, J Fan, Z Wang, Z Zhang",2022,Pattern Recognition,0.7906584931523998,0.7976691449507676,0.7941638190515836
Synthesizer: Rethinking self-attention for transformer models,https://proceedings.mlr.press/v139/tay21a.html,"-based content retrieval as an attention mechanism. On the other end  Synthetic Attention,  our proposed self-attention module. Our  For simplicity, we describe the per head and per layer","Y Tay, D Bahri, D Metzler, DC Juan",2021,International …,0.7769801797978018,0.8112598589812279,0.7941200193895148
Transformer networks for trajectory forecasting,https://ieeexplore.ieee.org/abstract/document/9412190/,"only-attention-based memory mechanisms of Transformers.  , weighting them according  to an attention mechanism.  Compared to these techniques, our transformer architecture","F Giuliari, I Hasan, M Cristani",2021,2020 25th international …,0.793847036822616,0.7943691781465998,0.7941081074846079
Evolving attention with residual convolutions,https://proceedings.mlr.press/v139/wang21ab.html,The attention maps are indispensable for a transformer model to  • We propose a novel  evolving attention mechanism aug module that generalizes attention maps in the current layer,"Y Wang, Y Yang, J Bai, M Zhang, J Bai",2021,International …,0.7858246451646765,0.8023373844656918,0.7940810148151842
Ps-transformer: Learning sparse photometric stereo network using self-attention mechanism,https://arxiv.org/abs/2211.11386,PMA (Pooling by Multihead Attention) module [17] which applies multi-head attention on a   the architecture. This illustrates that how the attention mechanism from the transformer models,S Ikehata,2022,arXiv preprint arXiv:2211.11386,0.7912273028264576,0.7968136352799802,0.7940204690532189
